start_year,tract_2010,parcels,foreclosures,foreclosures_per_1k
1997,55079003100,1051,4,3.805899143672693
1997,55079003200,846,2,2.3640661938534278
1997,55079003300,1143,1,0.8748906386701663
1997,55079003500,1046,3,2.868068833652008
1997,55079003600,545,7,12.844036697247708
1997,55079003700,778,8,10.282776349614394
1997,55079003800,673,4,5.943536404160475
1997,55079003900,783,12,15.32567049808429
1997,55079004000,542,5,9.22509225092251
1997,55079004100,808,3,3.7128712871287126
1997,55079004200,693,5,7.215007215007215
1997,55079004300,1469,8,5.445881552076242
1997,55079004400,467,8,17.130620985010708
1997,55079004500,654,5,7.6452599388379205
1997,55079004600,766,4,5.221932114882507
1997,55079004700,1084,5,4.612546125461255
1997,55079004800,1005,16,15.920398009950247
1997,55079004900,1202,2,1.663893510815308
1997,55079005000,1369,5,3.652300949598247
1997,55079005100,731,3,4.1039671682626535
1997,55079005300,707,2,2.828854314002829
1997,55079005400,1372,1,0.7288629737609329
1997,55079005600,778,2,2.5706940874035986
1997,55079005800,967,1,1.0341261633919339
1997,55079005900,913,8,8.762322015334064
1997,55079006000,521,5,9.596928982725528
1997,55079006100,568,5,8.802816901408452
1997,55079006200,590,11,18.64406779661017
1997,55079006300,630,8,12.698412698412698
1997,55079006400,631,7,11.093502377179082
1997,55079006500,665,2,3.0075187969924815
1997,55079006600,825,10,12.121212121212121
1997,55079006700,346,5,14.45086705202312
1997,55079006800,680,6,8.823529411764707
1997,55079006900,558,7,12.544802867383513
1997,55079007000,622,16,25.723472668810288
1997,55079007200,779,3,3.851091142490372
1997,55079007400,424,1,2.3584905660377355
1997,55079007700,488,2,4.0983606557377055
1997,55079007800,549,1,1.8214936247723132
1997,55079008000,426,4,9.389671361502348
1997,55079008100,304,2,6.578947368421052
1997,55079008400,340,5,14.705882352941176
1997,55079008500,300,3,10
1997,55079008600,343,5,14.577259475218659
1997,55079008700,359,5,13.927576601671309
1997,55079008800,474,8,16.877637130801688
1997,55079008900,363,11,30.303030303030305
1997,55079009000,501,23,45.90818363273453
1997,55079009100,563,12,21.314387211367674
1997,55079009200,369,4,10.840108401084011
1997,55079009300,726,2,2.7548209366391188
1997,55079009500,624,3,4.807692307692308
1997,55079009600,516,37,71.70542635658914
1997,55079009700,323,4,12.38390092879257
1997,55079009800,305,14,45.90163934426229
1997,55079009900,344,4,11.627906976744185
1997,55079010600,269,1,3.717472118959108
1997,55079010700,409,7,17.114914425427873
1997,55079011000,314,2,6.369426751592357
1997,55079011200,298,1,3.3557046979865772
1997,55079011300,119,2,16.80672268907563
1997,55079012200,449,8,17.817371937639198
1997,55079012300,169,1,5.9171597633136095
1997,55079012400,633,3,4.739336492890995
1997,55079012700,426,1,2.347417840375587
1997,55079012800,627,1,1.594896331738437
1997,55079012900,911,1,1.0976948408342482
1997,55079013400,347,9,25.936599423631126
1997,55079013500,55,1,18.18181818181818
1997,55079014600,75,1,13.333333333333334
1997,55079014700,69,1,14.492753623188406
1997,55079015700,480,4,8.333333333333334
1997,55079015800,406,2,4.926108374384237
1997,55079016000,497,5,10.060362173038229
1997,55079016100,621,3,4.830917874396135
1997,55079016200,541,3,5.545286506469501
1997,55079016300,788,4,5.076142131979695
1997,55079016400,679,4,5.89101620029455
1997,55079016500,420,2,4.761904761904763
1997,55079016600,315,3,9.5238095238095255
1997,55079016700,450,3,6.666666666666667
1997,55079016800,490,4,8.16326530612245
1997,55079016900,636,4,6.289308176100629
1997,55079017000,962,6,6.237006237006238
1997,55079017100,484,1,2.066115702479339
1997,55079017200,469,2,4.264392324093817
1997,55079017300,672,4,5.952380952380952
1997,55079017400,419,1,2.3866348448687353
1997,55079017500,613,3,4.893964110929852
1997,55079017600,438,5,11.415525114155251
1997,55079017900,681,4,5.873715124816446
1997,55079018000,655,2,3.0534351145038165
1997,55079018300,632,1,1.5822784810126582
1997,55079018400,442,1,2.2624434389140275
1997,55079018600,465,1,2.150537634408602
1997,55079018700,542,1,1.8450184501845017
1997,55079018800,347,1,2.881844380403458
1997,55079019000,1352,1,0.7396449704142012
1997,55079019200,1146,1,0.8726003490401396
1997,55079019300,969,1,1.0319917440660473
1997,55079019400,800,2,2.5
1997,55079019500,1016,1,0.984251968503937
1997,55079019800,1594,2,1.2547051442910915
1997,55079019900,994,1,1.006036217303823
1997,55079020500,638,2,3.134796238244514
1997,55079020800,1041,2,1.9212295869356388
1997,55079020900,826,1,1.2106537530266344
1997,55079021100,523,1,1.9120458891013383
1997,55079021200,467,1,2.1413276231263385
1997,55079185400,410,6,14.634146341463415
1997,55079185600,356,1,2.8089887640449436
1997,55079185700,456,5,10.964912280701753
1997,55079185800,304,1,3.289473684210526
1997,55079185900,193,1,5.181347150259067
1997,55079186100,282,1,3.5460992907801416
1998,55079000101,602,4,6.644518272425249
1998,55079000102,932,2,2.1459227467811157
1998,55079000201,872,18,20.642201834862387
1998,55079000301,653,1,1.5313935681470139
1998,55079000302,425,2,4.705882352941176
1998,55079000303,459,1,2.1786492374727673
1998,55079000501,734,3,4.087193460490463
1998,55079000502,456,1,2.1929824561403506
1998,55079000600,1453,5,3.4411562284927735
1998,55079000700,966,13,13.457556935817806
1998,55079000800,1184,5,4.222972972972973
1998,55079000900,651,1,1.5360983102918586
1998,55079001000,985,10,10.15228426395939
1998,55079001100,517,2,3.8684719535783367
1998,55079001200,472,7,14.830508474576272
1998,55079001300,907,6,6.615214994487321
1998,55079001400,327,1,3.058103975535168
1998,55079001500,600,5,8.333333333333334
1998,55079001600,606,1,1.6501650165016502
1998,55079001700,954,6,6.289308176100629
1998,55079001800,580,1,1.7241379310344827
1998,55079001900,842,7,8.31353919239905
1998,55079002000,713,5,7.012622720897616
1998,55079002100,574,7,12.195121951219512
1998,55079002200,574,2,3.484320557491289
1998,55079002300,1132,7,6.183745583038869
1998,55079002400,533,3,5.628517823639775
1998,55079002500,555,10,18.01801801801802
1998,55079002600,838,11,13.126491646778042
1998,55079002700,624,3,4.807692307692308
1998,55079002800,576,4,6.944444444444444
1998,55079002900,662,3,4.531722054380665
1998,55079003000,1198,3,2.5041736227045073
1998,55079003100,1050,6,5.714285714285714
1998,55079003200,846,1,1.1820330969267139
1998,55079003300,1145,1,0.8733624454148472
1998,55079003400,1426,1,0.7012622720897616
1998,55079003500,1046,10,9.560229445506693
1998,55079003600,544,4,7.352941176470588
1998,55079003700,777,4,5.148005148005148
1998,55079003800,672,5,7.44047619047619
1998,55079003900,783,5,6.385696040868455
1998,55079004000,542,8,14.760147601476014
1998,55079004100,807,11,13.630731102850062
1998,55079004200,694,7,10.086455331412104
1998,55079004300,1469,9,6.126616746085773
1998,55079004400,465,1,2.150537634408602
1998,55079004500,649,4,6.163328197226503
1998,55079004600,765,5,6.5359477124183005
1998,55079004700,1085,13,11.981566820276498
1998,55079004800,1003,9,8.97308075772682
1998,55079004900,1203,9,7.481296758104738
1998,55079005000,1369,5,3.652300949598247
1998,55079005100,731,2,2.7359781121751023
1998,55079005700,854,1,1.17096018735363
1998,55079005800,967,5,5.170630816959669
1998,55079005900,912,7,7.675438596491228
1998,55079006000,521,6,11.516314779270633
1998,55079006100,568,10,17.605633802816904
1998,55079006200,589,8,13.582342954159593
1998,55079006300,622,10,16.07717041800643
1998,55079006400,625,4,6.4
1998,55079006500,660,2,3.0303030303030303
1998,55079006600,817,3,3.6719706242350063
1998,55079006700,344,4,11.627906976744185
1998,55079006800,674,4,5.934718100890208
1998,55079006900,546,3,5.4945054945054945
1998,55079007000,617,8,12.965964343598054
1998,55079007700,487,1,2.053388090349076
1998,55079007900,395,1,2.5316455696202533
1998,55079008000,424,2,4.716981132075471
1998,55079008100,296,1,3.3783783783783785
1998,55079008500,295,3,10.169491525423728
1998,55079008600,340,2,5.88235294117647
1998,55079008700,354,5,14.124293785310734
1998,55079008800,465,4,8.602150537634408
1998,55079008900,341,3,8.797653958944283
1998,55079009000,487,15,30.80082135523614
1998,55079009100,557,8,14.362657091561939
1998,55079009200,368,8,21.73913043478261
1998,55079009300,726,2,2.7548209366391188
1998,55079009400,751,2,2.663115845539281
1998,55079009600,509,5,9.823182711198427
1998,55079009700,317,3,9.46372239747634
1998,55079009800,293,8,27.303754266211605
1998,55079009900,339,4,11.799410029498524
1998,55079010600,270,1,3.7037037037037037
1998,55079010700,407,2,4.914004914004914
1998,55079011200,298,1,3.3557046979865772
1998,55079012200,442,6,13.574660633484163
1998,55079012300,169,1,5.9171597633136095
1998,55079012400,633,4,6.3191153238546605
1998,55079012600,699,1,1.4306151645207439
1998,55079013000,494,1,2.0242914979757085
1998,55079013300,296,4,13.513513513513514
1998,55079013400,348,4,11.494252873563218
1998,55079013600,170,3,17.647058823529413
1998,55079013700,121,2,16.528925619834713
1998,55079014800,84,1,11.904761904761903
1998,55079014900,105,1,9.5238095238095255
1998,55079015700,477,2,4.1928721174004195
1998,55079015800,406,2,4.926108374384237
1998,55079015900,497,1,2.012072434607646
1998,55079016000,497,2,4.024144869215292
1998,55079016100,621,1,1.6103059581320451
1998,55079016200,543,9,16.574585635359114
1998,55079016300,788,5,6.345177664974619
1998,55079016400,681,4,5.873715124816446
