start_year,neighborhood,parcels,foreclosures,foreclosures_per_1k
1997,EUCLID PARK,431,1,2.320185614849188
1997,FAIR PARK,421,1,2.375296912114014
1997,FAIRFIELD,333,1,3.003003003003003
1997,FAIRVIEW,1380,1,0.7246376811594203
1997,FERNWOOD,1049,2,1.9065776930409915
1997,FLORIST HIGHLANDS,262,1,3.8167938931297707
1997,FOREST HOME HILLS,771,2,2.594033722438392
1997,FRANKLIN HEIGHTS,2222,12,5.4005400540054005
1997,FREEDOM VILLAGE,14,1,71.42857142857143
1997,GARDEN HOMES,599,3,5.0083472454090145
1997,GOLDEN GATE,266,0,0
1997,GOLDEN VALLEY,1060,0,0
1997,GOLDMAN PARK,524,0,0
1997,GRA-RAM,477,0,0
1997,GRACELAND,780,5,6.41025641025641
1997,GRANTOSA,356,0,0
1997,GRANVILLE STATION,248,1,4.032258064516129
1997,GRANVILLE WOODS,3,1,333.3333333333333
1997,GRASSLYN MANOR,1579,8,5.06649778340722
1997,GREEN MOOR,185,0,0
1997,GROVER HEIGHTS,107,1,9.345794392523365
1997,HALYARD PARK,94,0,0
1997,HAMPTON HEIGHTS,2112,16,7.575757575757576
1997,HARAMBEE,2519,34,13.497419610956728
1997,HARBOR VIEW,9,0,0
1997,HARDER'S OAKS,149,0,0
1997,HAVENWOODS,178,2,11.235955056179774
1997,HAWLEY FARMS,597,2,3.3500837520938025
1997,HAWTHORNE GLEN,123,1,8.130081300813009
1997,HERITAGE HEIGHTS,33,0,0
1997,HIGHWOOD ESTATES,500,0,0
1997,HILLSIDE,40,0,0
1997,HILLTOP PARISH,1,0,0
1997,HISTORIC MITCHELL STREET,1648,11,6.674757281553398
1997,HISTORIC THIRD WARD,1,0,0
1997,HOLLER PARK,165,0,0
1997,HONEY CREEK MANOR,833,1,1.2004801920768307
1997,HONEY CREEK PARKWAY,426,1,2.347417840375587
1997,JACKSON PARK,2380,1,0.42016806722689076
1997,JOHNSON'S WOODS,910,1,1.098901098901099
1997,JUNEAU TOWN,295,2,6.779661016949152
1997,KILBOURN TOWN,1,0,0
1997,KING PARK,173,1,5.780346820809248
1997,KOPS PARK,1166,3,2.5728987993138936
1997,LAND BANK,19,0,0
1997,LAYTON PARK,1599,6,3.75234521575985
1997,LENOX HEIGHTS,453,1,2.207505518763797
1997,LINCOLN CREEK,1960,11,5.612244897959183
1997,LINCOLN PARK,1418,10,7.052186177715092
1997,LINCOLN VILLAGE,1985,9,4.534005037783375
1997,LINDSAY PARK,1051,1,0.9514747859181732
1997,LITTLE MENOMONEE PARKWAY,265,0,0
1997,LONG VIEW,912,1,1.0964912280701753
1997,LOWER EAST SIDE,1118,2,1.7889087656529516
1997,LYONS PARK,517,0,0
1997,MACK ACRES,68,0,0
1997,MAITLAND PARK,321,0,0
1997,MAPLE TREE,376,2,5.319148936170213
1997,MARTIN DRIVE,414,3,7.246376811594203
1997,MC GOVERN PARK,1060,6,5.660377358490566
1997,MELODY VIEW,194,0,0
1997,MENOMONEE RIVER HILLS,1821,6,3.2948929159802307
1997,MENOMONEE RIVER HILLS EAST,636,1,1.5723270440251573
1997,MENOMONEE RIVER VALLEY,3,0,0
1997,MERRILL PARK,531,9,16.949152542372882
1997,METCALFE PARK,620,16,25.806451612903224
1997,MIDTOWN,1244,8,6.430868167202572
1997,MILL VALLEY,329,0,0
1997,MILLER VALLEY,109,0,0
1997,MILWAUKEE RIVER PARKWAY,228,1,4.385964912280701
1997,MITCHELL FIELD,72,0,0
1997,MITCHELL PARK,8,0,0
1997,MITCHELL WEST,871,0,0
1997,MORGAN HEIGHTS,537,1,1.86219739292365
1997,MORGANDALE,2478,1,0.4035512510088781
1997,MOUNT MARY,694,0,0
1997,MOUNT OLIVET,56,0,0
1997,MURRAY HILL,640,0,0
1997,MUSKEGO WAY,1901,10,5.260389268805891
1997,"NASH PARK",845,0,0
1997,"NATIONAL PARK",458,1,2.1834061135371177
1997,NEW COELN,159,0,0
1997,NORTH DIVISION,1896,23,12.130801687763713
1997,NORTH GRANVILLE,31,0,0
1997,NORTHPOINT,505,0,0
1997,NORTHRIDGE,216,1,4.62962962962963
1997,NORTHRIDGE LAKES,297,1,3.3670033670033668
1997,OLD NORTH MILWAUKEE,3107,38,12.230447376890892
1997,PARK KNOLL,366,0,0
1997,PARK PLACE,33,0,0
1997,PARK VIEW,135,0,0
1997,PARKWAY HILLS,153,0,0
1997,PHEASANT RUN,478,1,2.092050209205021
1997,POLLBER HEIGHTS,73,0,0
1997,POLONIA,1001,2,1.998001998001998
1997,RED OAK HEIGHTS,226,0,0
1997,RIDGEVIEW,88,0,0
1997,RIVER BEND,499,0,0
1997,RIVERSIDE PARK,227,2,8.81057268722467
1997,RIVERTON HEIGHTS,361,0,0
1997,RIVERWEST,2522,14,5.551149881046788
1997,ROLLING GREEN,492,0,0
