start_year,tract_2020,privately_owned_parcels,foreclosures,foreclosures_per_1k
1997,55079016300,788,4,5.076142131979695
1997,55079016400,679,4,5.89101620029455
1997,55079016500,419,2,4.773269689737471
1997,55079016600,315,3,9.5238095238095255
1997,55079016700,450,3,6.666666666666667
1997,55079016800,488,4,8.196721311475411
1997,55079016900,633,4,6.3191153238546605
1997,55079017000,965,6,6.217616580310881
1997,55079017100,484,1,2.066115702479339
1997,55079017200,492,2,4.065040650406504
1997,55079017300,671,4,5.961251862891207
1997,55079017400,419,1,2.3866348448687353
1997,55079017500,612,3,4.901960784313726
1997,55079017600,438,5,11.415525114155251
1997,55079017900,675,4,5.925925925925926
1997,55079018000,656,2,3.048780487804878
1997,55079018300,659,1,1.5174506828528074
1997,55079018400,421,1,2.375296912114014
1997,55079018600,465,1,2.150537634408602
1997,55079018700,542,1,1.8450184501845017
1997,55079018800,347,1,2.881844380403458
1997,55079019000,1356,1,0.7374631268436578
1997,55079019200,1141,1,0.8764241893076249
1997,55079019300,973,1,1.027749229188078
1997,55079019400,800,2,2.5
1997,55079019500,1016,1,0.984251968503937
1997,55079019800,1594,2,1.2547051442910915
1997,55079019900,1008,1,0.992063492063492
1997,55079020500,638,2,3.134796238244514
1997,55079020800,1061,2,1.885014137606032
1997,55079020900,825,1,1.2121212121212122
1997,55079021100,523,1,1.9120458891013383
1997,55079021200,467,1,2.1413276231263385
1997,55079185400,409,6,14.669926650366747
1997,55079185600,354,1,2.824858757062147
1997,55079185700,453,5,11.037527593818986
1997,55079185800,298,1,3.3557046979865772
1997,55079185900,191,1,5.235602094240838
1997,55079186100,283,1,3.5335689045936394
1998,55079000101,602,4,6.644518272425249
1998,55079000102,932,2,2.1459227467811157
1998,55079000201,872,18,20.642201834862387
1998,55079000301,653,1,1.5313935681470139
1998,55079000302,425,2,4.705882352941176
1998,55079000303,459,1,2.1786492374727673
1998,55079000501,734,3,4.087193460490463
1998,55079000502,456,1,2.1929824561403506
1998,55079000600,1467,5,3.408316291751875
1998,55079000700,966,13,13.457556935817806
1998,55079000800,1184,5,4.222972972972973
1998,55079000900,651,1,1.5360983102918586
1998,55079001000,983,10,10.172939979654121
1998,55079001100,516,2,3.875968992248062
1998,55079001200,472,7,14.830508474576272
1998,55079001300,906,6,6.622516556291391
1998,55079001400,327,1,3.058103975535168
1998,55079001500,600,5,8.333333333333334
1998,55079001600,606,1,1.6501650165016502
1998,55079001700,954,6,6.289308176100629
1998,55079001800,580,1,1.7241379310344827
1998,55079001900,841,7,8.323424494649228
1998,55079002000,713,5,7.012622720897616
1998,55079002100,573,7,12.216404886561953
1998,55079002200,578,2,3.4602076124567476
1998,55079002300,1131,7,6.18921308576481
1998,55079002400,531,3,5.649717514124294
1998,55079002500,555,10,18.01801801801802
1998,55079002600,838,11,13.126491646778042
1998,55079002700,624,3,4.807692307692308
1998,55079002800,576,4,6.944444444444444
1998,55079002900,662,3,4.531722054380665
1998,55079003000,1198,3,2.5041736227045073
1998,55079003100,1053,6,5.698005698005698
1998,55079003200,843,1,1.1862396204033216
1998,55079003300,1145,1,0.8733624454148472
1998,55079003400,1423,1,0.7027406886858749
1998,55079003500,1046,10,9.560229445506693
1998,55079003600,547,4,7.312614259597806
1998,55079003700,774,4,5.167958656330749
1998,55079003800,672,5,7.44047619047619
1998,55079003900,782,5,6.39386189258312
1998,55079004000,541,8,14.78743068391867
1998,55079004100,807,11,13.630731102850062
1998,55079004200,694,7,10.086455331412104
1998,55079004300,1469,9,6.126616746085773
1998,55079004400,464,1,2.155172413793103
1998,55079004500,648,4,6.172839506172839
1998,55079004600,765,5,6.5359477124183005
1998,55079004700,1083,13,12.003693444136657
1998,55079004800,998,9,9.01803607214429
1998,55079004900,1203,9,7.481296758104738
1998,55079005000,1369,5,3.652300949598247
1998,55079005100,731,2,2.7359781121751023
1998,55079005700,854,1,1.17096018735363
1998,55079005800,966,5,5.175983436853002
1998,55079005900,932,7,7.510729613733906
1998,55079006000,521,6,11.516314779270633
1998,55079006100,568,10,17.605633802816904
1998,55079006200,586,8,13.651877133105803
1998,55079006300,617,10,16.207455429497568
1998,55079006400,621,4,6.4412238325281805
1998,55079006500,658,2,3.0395136778115504
1998,55079006600,809,3,3.708281829419036
1998,55079006700,341,4,11.730205278592376
1998,55079006800,667,4,5.997001499250374
1998,55079006900,543,3,5.524861878453039
1998,55079007000,615,8,13.008130081300813
1998,55079007700,487,1,2.053388090349076
1998,55079007900,395,1,2.5316455696202533
1998,55079008000,424,2,4.716981132075471
1998,55079008100,295,1,3.389830508474576
1998,55079008500,294,3,10.204081632653061
1998,55079008600,333,2,6.006006006006006
