year_end,tract_2020,parcels,city_owned
1992,55079006300,654,1
1992,55079006400,682,1
1992,55079006500,684,4
1992,55079006600,879,2
1992,55079006700,374,2
1992,55079006800,705,4
1992,55079006900,585,2
1992,55079007000,651,1
1992,55079007100,481,0
1992,55079007200,780,1
1992,55079007300,544,0
1992,55079007400,420,0
1992,55079007500,722,0
1992,55079007600,388,0
1992,55079007700,486,0
1992,55079007800,550,0
1992,55079007900,391,0
1992,55079008000,430,0
1992,55079008100,313,1
1992,55079008400,367,2
1992,55079008500,319,1
1992,55079008600,394,1
1992,55079008700,406,4
1992,55079008800,509,5
1992,55079008900,411,2
1992,55079009000,541,4
1992,55079009100,570,4
1992,55079009200,368,0
1992,55079009300,725,0
1992,55079009400,750,0
1992,55079009500,625,0
1992,55079009600,554,3
1992,55079009700,352,2
1992,55079009800,345,5
1992,55079009900,405,4
1992,55079010600,270,0
1992,55079010700,413,0
1992,55079010800,259,0
1992,55079011000,322,0
1992,55079011100,117,0
1992,55079011200,291,0
1992,55079011300,120,0
1992,55079011400,89,0
1992,55079012200,465,0
1992,55079012300,190,1
1992,55079012400,631,0
1992,55079012500,559,0
1992,55079012600,709,0
1992,55079012700,427,0
1992,55079012800,626,0
1992,55079012900,912,0
1992,55079013000,478,0
1992,55079013300,298,1
1992,55079013400,354,0
1992,55079013500,53,0
1992,55079013600,170,0
1992,55079013700,122,1
1992,55079014300,227,0
1992,55079014400,21,0
1992,55079014600,85,1
1992,55079014700,72,10
1992,55079014800,82,0
1992,55079014900,124,0
1992,55079015700,489,1
1992,55079015800,406,1
1992,55079015900,498,1
1992,55079016000,499,1
1992,55079016100,616,0
1992,55079016200,538,0
1992,55079016300,788,0
1992,55079016400,682,2
1992,55079016500,433,0
1992,55079016600,323,1
1992,55079016700,448,0
1992,55079016800,494,0
1992,55079016900,632,1
1992,55079017000,967,0
1992,55079017100,483,0
1992,55079017200,491,0
1992,55079017300,671,0
1992,55079017400,420,0
1992,55079017500,617,0
1992,55079017600,435,0
1992,55079017900,677,0
1992,55079018000,655,0
1992,55079018100,703,0
1992,55079018200,522,0
1992,55079018300,663,0
1992,55079018400,420,0
1992,55079018500,603,0
1992,55079018600,462,0
1992,55079018700,543,0
1992,55079018800,345,0
1992,55079018900,368,0
1992,55079019000,1355,0
1992,55079019100,611,0
1992,55079019200,1142,0
1992,55079019300,973,0
1992,55079019400,799,0
1992,55079019500,1012,0
1992,55079019600,999,0
1992,55079019700,1330,0
1992,55079019800,1596,0
1992,55079019900,1008,0
1992,55079020000,635,0
1992,55079020100,710,0
1992,55079020200,955,0
1992,55079020300,1123,0
1992,55079020400,627,0
1992,55079020500,643,0
1992,55079020600,1244,0
1992,55079020700,1417,0
1992,55079020800,1062,0
1992,55079020900,823,0
1992,55079021000,778,0
1992,55079021100,523,0
1992,55079021200,467,0
1992,55079021300,309,0
1992,55079021400,411,0
1992,55079021500,884,0
1992,55079021600,1225,0
1992,55079021700,1867,0
1992,55079021800,474,0
1992,55079060200,17,0
1992,55079090100,3,0
1992,55079090200,14,0
1992,55079091000,3,0
1992,55079091300,11,0
1992,55079091400,10,0
1992,55079101600,6,0
1992,55079120300,4,0
1992,55079120400,16,0
1992,55079120502,3,0
1992,55079185100,1,0
1992,55079185200,7,0
1992,55079185400,453,2
1992,55079185500,354,3
1992,55079185600,372,1
1992,55079185700,490,2
1992,55079185800,346,1
1992,55079185900,219,2
1992,55079186000,78,0
1992,55079186100,285,0
1992,55079186200,214,0
1992,55079186400,4,0
1992,55079186500,322,1
1992,55079186600,404,0
1992,55079186800,69,0
1992,55079186900,7,0
1992,55079187000,445,0
1993,55079000101,642,0
1993,55079000102,931,0
1993,55079000201,868,0
1993,55079000202,1134,0
1993,55079000301,626,0
1993,55079000302,388,0
1993,55079000303,447,0
1993,55079000304,989,0
1993,55079000400,371,0
1993,55079000501,732,0
1993,55079000502,458,0
1993,55079000600,1467,1
1993,55079000700,981,0
1993,55079000800,1184,1
1993,55079000900,657,1
1993,55079001000,986,1
1993,55079001100,517,2
1993,55079001200,471,1
1993,55079001300,906,0
1993,55079001400,327,0
1993,55079001500,601,0
1993,55079001600,607,0
1993,55079001700,956,1
1993,55079001800,580,0
1993,55079001900,845,1
1993,55079002000,714,1
1993,55079002100,574,1
1993,55079002200,578,0
1993,55079002300,1131,0
1993,55079002400,540,2
1993,55079002500,558,2
1993,55079002600,843,4
1993,55079002700,624,0
1993,55079002800,578,0
1993,55079002900,663,1
1993,55079003000,1197,0
1993,55079003100,1058,4
1993,55079003200,845,1
1993,55079003300,1144,0
1993,55079003400,1420,0
1993,55079003500,1045,0
1993,55079003600,547,0
1993,55079003700,773,0
1993,55079003800,676,0
1993,55079003900,783,0
1993,55079004000,543,0
1993,55079004100,807,0
1993,55079004200,692,0
1993,55079004300,1468,6
1993,55079004400,475,1
1993,55079004500,655,3
1993,55079004600,774,6
1993,55079004700,1089,4
1993,55079004800,1009,2
1993,55079004900,1201,0
1993,55079005000,1370,2
1993,55079005100,729,0
1993,55079005200,571,0
1993,55079005300,707,0
1993,55079005400,1372,1
1993,55079005500,1207,0
1993,55079005600,778,0
1993,55079005700,856,0
1993,55079005800,968,0
1993,55079005900,935,1
1993,55079006000,521,0
1993,55079006100,573,1
1993,55079006200,605,4
1993,55079006300,658,6
1993,55079006400,678,8
1993,55079006500,684,4
1993,55079006600,873,12
1993,55079006700,366,1
1993,55079006800,702,6
1993,55079006900,581,5
1993,55079007000,644,5
1993,55079007100,480,1
1993,55079007200,779,1
1993,55079007300,544,0
1993,55079007400,420,0
1993,55079007500,723,0
1993,55079007600,388,0
1993,55079007700,487,0
1993,55079007800,549,0
1993,55079007900,392,0
1993,55079008000,429,0
1993,55079008100,313,4
1993,55079008400,361,4
1993,55079008500,316,1
1993,55079008600,386,9
1993,55079008700,401,8
1993,55079008800,504,3
1993,55079008900,408,6
1993,55079009000,531,6
1993,55079009100,571,3
1993,55079009200,370,2
1993,55079009300,725,1
1993,55079009400,750,0
1993,55079009500,625,0
1993,55079009600,552,3
1993,55079009700,335,2
1993,55079009800,337,3
1993,55079009900,399,5
1993,55079010600,275,1
1993,55079010700,412,0
1993,55079010800,260,0
1993,55079011000,318,0
1993,55079011100,117,0
1993,55079011200,290,0
1993,55079011300,118,0
1993,55079011400,90,0
1993,55079012200,462,4
1993,55079012300,188,0
1993,55079012400,632,0
1993,55079012500,559,0
1993,55079012600,709,0
1993,55079012700,427,0
1993,55079012800,626,0
1993,55079012900,912,0
1993,55079013000,478,0
1993,55079013300,296,0
1993,55079013400,352,0
1993,55079013500,52,0
1993,55079013600,169,1
1993,55079013700,120,0
1993,55079014300,227,0
1993,55079014400,21,0
1993,55079014600,78,1
1993,55079014700,69,10
1993,55079014800,81,0
1993,55079014900,124,0
1993,55079015700,489,2
1993,55079015800,408,0
1993,55079015900,498,2
1993,55079016000,497,0
1993,55079016100,616,0
1993,55079016200,539,0
1993,55079016300,790,0
1993,55079016400,682,1
1993,55079016500,431,1
1993,55079016600,324,1
1993,55079016700,448,0
1993,55079016800,493,1
1993,55079016900,633,2
1993,55079017000,967,1
1993,55079017100,483,0
1993,55079017200,491,0
1993,55079017300,671,1
1993,55079017400,420,0
1993,55079017500,617,0
1993,55079017600,435,0
1993,55079017900,678,0
1993,55079018000,656,0
1993,55079018100,702,0
1993,55079018200,522,0
1993,55079018300,662,0
1993,55079018400,419,0
1993,55079018500,603,0
1993,55079018600,462,0
1993,55079018700,543,0
1993,55079018800,345,0
1993,55079018900,368,0
1993,55079019000,1356,0
1993,55079019100,610,0
1993,55079019200,1142,0
1993,55079019300,973,0
1993,55079019400,800,0
1993,55079019500,1014,0
1993,55079019600,999,0
1993,55079019700,1330,0
1993,55079019800,1594,0
1993,55079019900,1008,0
1993,55079020000,635,0
1993,55079020100,710,0
1993,55079020200,955,0
1993,55079020300,1123,0
1993,55079020400,626,0
1993,55079020500,643,0
1993,55079020600,1246,0
1993,55079020700,1416,0
1993,55079020800,1060,0
1993,55079020900,823,1
1993,55079021000,779,0
1993,55079021100,523,0
1993,55079021200,467,0
1993,55079021300,310,0
1993,55079021400,412,0
1993,55079021500,885,0
1993,55079021600,1229,1
1993,55079021700,1867,0
1993,55079021800,475,0
1993,55079060200,17,0
1993,55079090100,3,0
1993,55079090200,14,0
1993,55079091000,3,0
1993,55079091300,11,0
1993,55079091400,10,0
1993,55079101600,6,0
1993,55079120300,4,0
1993,55079120400,16,0
1993,55079120502,3,0
1993,55079185100,1,0
1993,55079185200,7,0
1993,55079185400,446,6
1993,55079185500,345,6
1993,55079185600,369,7
1993,55079185700,479,4
1993,55079185800,342,4
1993,55079185900,217,6
1993,55079186000,79,0
1993,55079186100,287,1
1993,55079186200,212,2
1993,55079186400,3,0
1993,55079186500,313,0
1993,55079186600,404,0
1993,55079186800,69,0
1993,55079186900,7,0
1993,55079187000,441,0
1993,55079187400,1,0
1994,55079000101,602,0
1994,55079000102,930,0
1994,55079000201,869,0
1994,55079000202,1140,0
1994,55079000301,635,0
1994,55079000302,389,0
1994,55079000303,450,0
1994,55079000304,990,0
1994,55079000400,371,0
1994,55079000501,733,0
1994,55079000502,458,0
1994,55079000600,1466,0
1994,55079000700,971,0
1994,55079000800,1184,0
1994,55079000900,655,0
1994,55079001000,984,0
1994,55079001100,516,1
1994,55079001200,470,0
1994,55079001300,906,0
1994,55079001400,327,0
1994,55079001500,601,0
1994,55079001600,606,0
1994,55079001700,957,1
1994,55079001800,580,0
1994,55079001900,845,0
1994,55079002000,713,1
1994,55079002100,573,0
1994,55079002200,578,1
1994,55079002300,1133,1
1994,55079002400,539,1
1994,55079002500,555,0
1994,55079002600,840,2
1994,55079002700,624,0
1994,55079002800,577,1
1994,55079002900,662,0
1994,55079003000,1197,0
1994,55079003100,1054,0
1994,55079003200,844,0
1994,55079003300,1144,0
1994,55079003400,1420,0
1994,55079003500,1045,0
1994,55079003600,548,0
1994,55079003700,773,0
1994,55079003800,676,0
1994,55079003900,783,0
1994,55079004000,543,0
1994,55079004100,807,0
1994,55079004200,692,0
1994,55079004300,1466,0
1994,55079004400,472,1
1994,55079004500,652,3
1994,55079004600,770,1
1994,55079004700,1086,2
1994,55079004800,1008,3
1994,55079004900,1202,0
1994,55079005000,1370,0
1994,55079005100,729,0
1994,55079005200,571,0
1994,55079005300,707,0
1994,55079005400,1371,0
1994,55079005500,1207,0
1994,55079005600,778,0
1994,55079005700,857,0
1994,55079005800,968,0
1994,55079005900,935,0
1994,55079006000,521,0
1994,55079006100,571,0
1994,55079006200,597,6
1994,55079006300,647,3
1994,55079006400,662,5
1994,55079006500,678,6
1994,55079006600,854,5
1994,55079006700,364,2
1994,55079006800,694,3
1994,55079006900,574,3
1994,55079007000,636,3
1994,55079007100,478,1
1994,55079007200,779,1
1994,55079007300,544,0
1994,55079007400,422,0
1994,55079007500,721,0
1994,55079007600,388,0
1994,55079007700,487,0
1994,55079007800,549,0
1994,55079007900,392,0
1994,55079008000,427,0
1994,55079008100,312,0
1994,55079008400,356,1
1994,55079008500,313,3
1994,55079008600,370,3
1994,55079008700,389,1
1994,55079008800,497,3
1994,55079008900,399,1
1994,55079009000,522,3
1994,55079009100,568,2
1994,55079009200,369,0
1994,55079009300,724,0
1994,55079009400,750,0
1994,55079009500,625,0
1994,55079009600,551,1
1994,55079009700,335,2
1994,55079009800,328,4
1994,55079009900,383,6
1994,55079010600,272,0
1994,55079010700,412,0
1994,55079010800,253,1
1994,55079011000,319,0
1994,55079011100,117,0
1994,55079011200,288,0
1994,55079011300,118,0
1994,55079011400,90,0
1994,55079012200,458,0
1994,55079012300,179,0
1994,55079012400,632,0
1994,55079012500,559,0
1994,55079012600,709,0
1994,55079012700,426,0
1994,55079012800,627,0
1994,55079012900,911,0
1994,55079013000,478,0
1994,55079013300,294,0
1994,55079013400,353,9
1994,55079013500,54,0
1994,55079013600,167,0
1994,55079013700,119,0
1994,55079014300,227,0
1994,55079014400,21,0
1994,55079014600,78,2
1994,55079014700,71,10
1994,55079014800,82,0
1994,55079014900,118,1
1994,55079015700,485,1
1994,55079015800,406,0
1994,55079015900,495,0
1994,55079016000,497,1
1994,55079016100,618,0
1994,55079016200,541,0
1994,55079016300,789,0
1994,55079016400,682,1
1994,55079016500,427,0
1994,55079016600,322,2
1994,55079016700,450,0
1994,55079016800,492,1
1994,55079016900,633,0
1994,55079017000,964,0
1994,55079017100,483,0
1994,55079017200,492,0
1994,55079017300,671,0
1994,55079017400,419,0
1994,55079017500,614,1
1994,55079017600,437,0
1994,55079017900,676,0
1994,55079018000,659,0
1994,55079018100,702,0
1994,55079018200,522,0
1994,55079018300,659,0
1994,55079018400,419,0
1994,55079018500,603,0
1994,55079018600,463,0
1994,55079018700,542,0
1994,55079018800,346,1
1994,55079018900,368,0
1994,55079019000,1356,0
1994,55079019100,610,0
1994,55079019200,1142,0
1994,55079019300,973,0
1994,55079019400,800,0
1994,55079019500,1015,0
