year_end,tract_2010,parcels
1992,55079004900,1201
1992,55079005000,1371
1992,55079005100,729
1992,55079005200,572
1992,55079005300,708
1992,55079005400,1372
1992,55079005500,1208
1992,55079005600,778
1992,55079005700,857
1992,55079005800,968
1992,55079005900,916
1992,55079006000,521
1992,55079006100,574
1992,55079006200,607
1992,55079006300,654
1992,55079006400,682
1992,55079006500,684
1992,55079006600,879
1992,55079006700,374
1992,55079006800,705
1992,55079006900,585
1992,55079007000,651
1992,55079007100,481
1992,55079007200,780
1992,55079007300,544
1992,55079007400,420
1992,55079007500,722
1992,55079007600,374
1992,55079007700,486
1992,55079007800,550
1992,55079007900,391
1992,55079008000,430
1992,55079008100,313
1992,55079008400,367
1992,55079008500,319
1992,55079008600,394
1992,55079008700,406
1992,55079008800,508
1992,55079008900,408
1992,55079009000,541
1992,55079009100,570
1992,55079009200,368
1992,55079009300,725
1992,55079009400,750
1992,55079009500,625
1992,55079009600,554
1992,55079009700,352
1992,55079009800,348
1992,55079009900,413
1992,55079010600,270
1992,55079010700,413
1992,55079010800,243
1992,55079011000,322
1992,55079011100,117
1992,55079011200,301
1992,55079011300,120
1992,55079011400,89
1992,55079012200,465
1992,55079012300,190
1992,55079012400,631
1992,55079012500,559
1992,55079012600,699
1992,55079012700,427
1992,55079012800,626
1992,55079012900,912
1992,55079013000,493
1992,55079013300,298
1992,55079013400,354
1992,55079013500,53
1992,55079013600,170
1992,55079013700,122
1992,55079014300,227
1992,55079014400,21
1992,55079014600,85
1992,55079014700,72
1992,55079014800,82
1992,55079014900,124
1992,55079015700,489
1992,55079015800,406
1992,55079015900,498
1992,55079016000,499
1992,55079016100,616
1992,55079016200,538
1992,55079016300,788
1992,55079016400,682
1992,55079016500,433
1992,55079016600,323
1992,55079016700,448
1992,55079016800,494
1992,55079016900,635
1992,55079017000,964
1992,55079017100,483
1992,55079017200,468
1992,55079017300,671
1992,55079017400,420
1992,55079017500,617
1992,55079017600,435
1992,55079017900,683
1992,55079018000,654
1992,55079018100,704
1992,55079018200,535
1992,55079018300,636
1992,55079018400,441
1992,55079018500,603
1992,55079018600,462
1992,55079018700,543
1992,55079018800,345
1992,55079018900,368
1992,55079019000,1351
1992,55079019100,613
1992,55079019200,1146
1992,55079019300,969
1992,55079019400,799
1992,55079019500,1012
1992,55079019600,999
1992,55079019700,1330
1992,55079019800,1596
1992,55079019900,994
1992,55079020000,622
1992,55079020100,710
1992,55079020200,955
1992,55079020300,1123
1992,55079020400,627
1992,55079020500,643
1992,55079020600,1244
1992,55079020700,1402
1992,55079020800,1042
1992,55079020900,823
1992,55079021000,778
1992,55079021100,523
1992,55079021200,467
1992,55079021300,309
1992,55079021400,411
1992,55079021500,884
1992,55079021600,1225
1992,55079021700,1867
1992,55079021800,467
1992,55079060200,19
1992,55079080400,2
1992,55079090200,12
1992,55079091000,23
1992,55079091300,9
1992,55079091400,7
1992,55079101600,10
1992,55079110100,23
1992,55079120300,12
1992,55079120400,33
1992,55079120502,10
1992,55079185100,8
1992,55079185200,22
1992,55079185400,446
1992,55079185500,356
1992,55079185600,372
1992,55079185700,490
1992,55079185800,348
1992,55079185900,217
1992,55079186000,78
1992,55079186100,283
1992,55079186200,214
1992,55079186400,4
1992,55079186500,322
1992,55079186600,404
1992,55079186800,69
1992,55079186900,69
1992,55079187000,389
1992,55079980000,14
1993,55079000101,642
1993,55079000102,931
1993,55079000201,868
1993,55079000202,1134
1993,55079000301,626
1993,55079000302,388
1993,55079000303,447
1993,55079000304,1003
1993,55079000400,371
1993,55079000501,732
1993,55079000502,458
1993,55079000600,1453
1993,55079000700,981
1993,55079000800,1184
1993,55079000900,657
1993,55079001000,988
1993,55079001100,517
1993,55079001200,471
1993,55079001300,906
1993,55079001400,327
1993,55079001500,601
1993,55079001600,607
1993,55079001700,956
1993,55079001800,580
1993,55079001900,845
1993,55079002000,714
1993,55079002100,574
1993,55079002200,574
1993,55079002300,1131
1993,55079002400,540
1993,55079002500,558
1993,55079002600,843
1993,55079002700,624
1993,55079002800,578
1993,55079002900,663
1993,55079003000,1197
1993,55079003100,1055
1993,55079003200,848
1993,55079003300,1144
1993,55079003400,1423
1993,55079003500,1045
1993,55079003600,544
1993,55079003700,776
1993,55079003800,676
1993,55079003900,783
1993,55079004000,543
1993,55079004100,807
1993,55079004200,692
1993,55079004300,1468
1993,55079004400,473
1993,55079004500,655
1993,55079004600,774
1993,55079004700,1089
1993,55079004800,1009
1993,55079004900,1201
1993,55079005000,1370
1993,55079005100,729
1993,55079005200,571
1993,55079005300,707
1993,55079005400,1372
1993,55079005500,1209
1993,55079005600,778
1993,55079005700,856
1993,55079005800,968
1993,55079005900,916
1993,55079006000,521
1993,55079006100,573
1993,55079006200,605
1993,55079006300,658
1993,55079006400,678
1993,55079006500,684
1993,55079006600,873
1993,55079006700,366
1993,55079006800,702
1993,55079006900,581
1993,55079007000,644
1993,55079007100,480
1993,55079007200,779
1993,55079007300,544
1993,55079007400,420
